はじめての計測工学　改訂第2版, 計測工学, 桑原央明
振動工学の基礎　新装版, 振動工学, 桑原央明
流体力学, 流れ学?, 川上幸男
はじめての生産加工学1(基本加工技術編), 加工工学, 伊東敏夫
はじめての生産加工学2(応用加工技術編), 加工工学, 伊東敏夫
基礎機械材料, 機械材料, 伊東敏夫
生物学と医学のための物理学, 感覚と運動システム, 吉村建二郎
工学系の力学, 機械力学, 君島真仁
システム工学ー問題発見・解決の方法ー, システム工学A, 全教員
SUCCESSFUL STEPS FOR THE TOEICR L&R TEST 　New Edition, 語学検定対策講座, 小林潤
500語マスターやさしい中国語, 中国語II, 呉守鋼
500語マスターやさしい中国語, 中国語I, 呉守鋼
eco検定公式テキスト　改訂9版, SDGsとサステナビリティ, 袖野玲子
ピエールとユゴー　コンパクト版, フランス語I, 本間幸代
身につくドイツ文法<Leicht>2, ドイツ語I, 菅谷優
新キャンパス独和辞典, ドイツ語I, 菅谷優
例題で学ぶ微分積分学, 微分積分I, 全教員
Q: Skills for Success2- Reading and Writing(2nd ed), English Basic Skills I, 全教員
Get Reading! 大学生のための読解演習と基本文法, English Remedial Course I, 全教員
Q: Skills for Success 3- Reading and Writing(2nd ed), English Advanced Skills I, 全教員
Technical English  Level 2 Course Book and eBook　(2nd Edition), English for Science and Technology (Basic Class), 木戸・土井・中村・真保・出淵
Technical English  Level 3 Course Book and eBook(2nd Edition), English for Science and Technology (Advanced Class), 小抜・オガワ・柳澤・吉村
Winning Presentation　動画で学ぶ英語プレゼンテーション, 理工系英語プレゼンテーション, 吉村建二郎
物理学基礎　Web動画付　第5版, 力学I, 木村元
これだけはおさえたい!化学　改訂版　Primary大学テキスト, 化学I, 藤井靖之
医療と生命, 生命倫理概論, 中川雅博
共通テスト公共、倫理　集中講義　改訂版　※4/25発売予定　店頭にて販売, 哲学?, 中川雅博
ミクロ経済学の力, 経済学I, 小山友介
ベクトル解析の基礎　第2版, 解析学I, 榎本裕子
入門線形代数, 線形代数I, 梶ヶ谷徹
新Aクラス中学代数問題集　6訂版, 数学科指導法1, 高村真彦
